		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000111   23   32   27   15   18   29   29   21 10.577961 0.226778 SUCCESS  32
001001011   23   24   28   29   30   20   29   29  5.479393 0.705322 SUCCESS  33
001001101   25   23   28   25   20   22   31   31  5.419153 0.711980 SUCCESS  34
001001111   23   30   26   16   24   23   19   24  5.840172 0.665130 SUCCESS  35
001010011   28   25   24   22   28   31   21   22  3.944262 0.862117 SUCCESS  36
001010101   27   18   32   20   26   20   24   27  6.510757 0.590215 SUCCESS  37
001010111   24   21   31   26   16   21   24   23  6.018245 0.645188 SUCCESS  38
001011011   22   25   27   38   27   28   16   27 12.495055 0.130445 SUCCESS  39
001011101   17   16   29   21   26   26   18   29  9.542625 0.298605 SUCCESS  40
001011111   29   22   24   32   22   27   36   31 11.674862 0.166311 SUCCESS  41
001100101   17   25   28   25   27   20   17   33  9.459216 0.305049 SUCCESS  42
001100111   19   34   28   25   31   31   36   38 22.938448 0.003444 FAILURE  43
001101011   23   28   26   22   26   17   21   22  4.145504 0.843763 SUCCESS  44
001101101   27   25   21   24   25   23   28   20  2.265481 0.971772 SUCCESS  45
001101111   27   28   21   18   20   28   35   28  9.740557 0.283710 SUCCESS  46
001110101   24   26   18   29   21   31   27   25  5.384730 0.715775 SUCCESS  47
001110111   18   21   22   23   25   26   27   25  2.976447 0.935827 SUCCESS  48
001111011   22   24   22   31   23   25   19   23  3.756260 0.878418 SUCCESS  49
001111101   27   21   22   21   22   22   16   31  6.831156 0.554955 SUCCESS  50
001111111   25   23   18   20   20   36   23   22  9.500920 0.301814 SUCCESS  51
010000011   28   38   26   29   18   25   20   25 11.978049 0.152186 SUCCESS  52
010000111   18   27   25   26   22   26   25   23  2.595809 0.957113 SUCCESS  53
010001011   23   18   24   21   26   30   17   31  7.916803 0.441639 SUCCESS  54
010001111   29   33   24   17   25   29   25   24  7.291894 0.505492 SUCCESS  55
010010011   27   26   27   24   21   24   22   22  1.672347 0.989463 SUCCESS  56
010010111   25   18   28   25   32   18   26   23  6.688830 0.570547 SUCCESS  57
010011011   28   23   24   18   22   26   29   26  3.731766 0.880477 SUCCESS  58
010011111   24   34   26   21   21   26   22   23  5.435040 0.710226 SUCCESS  59
010100011   24   30   28   18   33   35   25   29 12.428857 0.133070 SUCCESS  60
010100111   23   27   21   26   31   24   29   27  4.004502 0.856717 SUCCESS  61
010101011   25   11   28   23   26   16   20   27 12.456660 0.131962 SUCCESS  62
010101111   11   13   25   23   25   22   26   18 15.310455 0.053383 SUCCESS  63
010110011   25   18   20   22   27   25   19   18  6.084443 0.637773 SUCCESS  64
010110111   16   23   22   31   26   28   16   28  9.357271 0.313059 SUCCESS  65
010111011   22   19   28   20   26   28   23   27  3.875416 0.868185 SUCCESS  66
010111111   28   19   26   27   19   22   30   23  5.070289 0.750038 SUCCESS  67
011000111   30   22   20   23   21   25   18   27  5.001444 0.757422 SUCCESS  68
011001111   25   22   22   25   26   23   26   31  2.664655 0.953610 SUCCESS  69
011010111   21   29   26   24   25   21   28   14  7.136990 0.521927 SUCCESS  70
011011111   27   26   15   24   30   25   31   26  7.444149 0.489556 SUCCESS  71
011101111   27   20   23   17   25   20   32   22  7.035045 0.532856 SUCCESS  72
011111111   24   17   16   24   30   31   36   23 14.281738 0.074711 SUCCESS  73
100000000   27   31   23   24   24   16   28   18  7.501741 0.483587 SUCCESS  74
100010000   23   28   25   24   21   25   24   22  1.409541 0.994110 SUCCESS  75
100100000   36   34   25   20   27   32   24   14 17.765738 0.023053 SUCCESS  76
100101000   28   24   28   33   36   28   24   34 14.404867 0.071804 SUCCESS  77
100110000   25   30   23   29   23   24   19   28  4.198462 0.838788 SUCCESS  78
100111000   21   31   24   24   22   22   30   20  4.985556 0.759119 SUCCESS  79
101000000   25   21   24   22   21   18   27   26  3.374297 0.908724 SUCCESS  80
101000100   30   30   28   28   27   33   32   28 10.176802 0.252835 SUCCESS  81
101001000   27   28   24   29   22   29   20   24  3.707273 0.882522 SUCCESS  82
101001100   26   27   25   23   30   22   19   27  3.588117 0.892244 SUCCESS  83
101010000   24   29   27   28   23   17   30   21  5.960652 0.651640 SUCCESS  84
101010100   28   20   33   27   23   19   18   27  8.129298 0.420943 SUCCESS  85
101011000   29   18   23   27   24   20   21   14  8.897857 0.350986 SUCCESS  86
101011100   23   30   24   22   34   27   22   28  6.648449 0.574993 SUCCESS  87
101100000   15   26   20   28   18   21   21   32 10.381353 0.239273 SUCCESS  88
101100100   21   26   23   18   22   31   27   25  4.807483 0.777940 SUCCESS  89
101101000   26   22   19   25   21   23   29   29  3.968755 0.859931 SUCCESS  90
101101100   25   26   24   27   18   31   18   28  6.282374 0.615634 SUCCESS  91
101110000   17   19   21   25   30   30   18   26  8.560247 0.380738 SUCCESS  92
101110100   26   20   26   21   24   29   19   30  4.994162 0.758200 SUCCESS  93
101111000   17   28   19   31   20   13   27   18 14.294978 0.074394 SUCCESS  94
101111100   23   19   20   22   19   26   26   28  4.382492 0.821071 SUCCESS  95
110000000   24   27   28   31   27   16   25   31  7.826111 0.450638 SUCCESS  96
110000010   17   26   18   22   18   19   19   29  9.506878 0.301354 SUCCESS  97
110000100   15   25   28   31   30   24   21   15 11.721200 0.164083 SUCCESS  98
110001000   22   32   28   24   17   26   29   23  6.655731 0.574190 SUCCESS  99
110001010   20   22   21   28   23   30   22   26  3.866810 0.868936 SUCCESS 100
110010000   28   31   23   14   22   36   21   20 14.314837 0.073919 SUCCESS 101
110010010   23   22   29   23   37   25   23   17 10.451523 0.234753 SUCCESS 102
110010100   36   20   29   29   30   22   22   31 11.979373 0.152127 SUCCESS 103
110011000   36   31   29   34   21   21   23   22 13.656829 0.091160 SUCCESS 104
110011010   23   24   24   21   25   16   18   27  5.610465 0.690773 SUCCESS 105
110100000   30   26   37   22   17   22   26   26 11.189631 0.191184 SUCCESS 106
110100010   29   21   18   30   24   34   27   23  8.732362 0.365374 SUCCESS 107
110100100   25   23   28   20   24   31   18   26  5.163629 0.739953 SUCCESS 108
110101000   24   27   31   26   29   24   34   18  8.792602 0.360093 SUCCESS 109
110101010   26   13   29   30   23   15   14   27 16.532470 0.035363 SUCCESS 110
110101100   22   28   23   17   26   13   20   21 10.117223 0.256895 SUCCESS 111
110110000   18   29   29   23   26   21   19   31  7.290570 0.505631 SUCCESS 112
110110010   26   20   19   26   16   39   27   28 15.129072 0.056684 SUCCESS 113
110110100   26   28   18   24   21   19   23   28  4.755849 0.783324 SUCCESS 114
110111000   18   15   13   33   27   23   20   26 15.413724 0.051583 SUCCESS 115
110111010   26   20   24   27   29   30   22   28  4.241491 0.834704 SUCCESS 116
110111100   14   27   27   24   17   18   31   29 11.958189 0.153079 SUCCESS 117
111000000   29   25   20   19   23   24   31   22  5.146417 0.741818 SUCCESS 118
111000010   20   21   31   24   26   25   31   18  6.866903 0.551059 SUCCESS 119
111000100   23   18   15   22   20   23   36   32 14.856337 0.062000 SUCCESS 120
111000110   18   35   17   33   26   15   30   22 17.373846 0.026443 SUCCESS 121
111001000   26   31   17   15   24   34   22   29 13.069653 0.109475 SUCCESS 122
111001010   28   23   30   25   28   22   23   30  4.182575 0.840287 SUCCESS 123
111001100   30   27   33   19   11   25   28   20 14.975493 0.059624 SUCCESS 124
111010000   20   27   37   18   20   22   19   22 12.110445 0.146344 SUCCESS 125
111010010   21   22   35   26   16   30   17   27 12.526830 0.129200 SUCCESS 126
111010100   23   24   30   27   24   23   33   23  5.012697 0.756218 SUCCESS 127
111010110   20   23   24   24   23   26   22   31  3.197549 0.921355 SUCCESS 128
111011000   15   24   26   29   28   25   19   32  9.002449 0.342089 SUCCESS 129
111011010   25   27   19   26   23   18   25   21  3.967431 0.860050 SUCCESS 130
111011100   15   22   22   28   28   29   19   18  9.195086 0.326107 SUCCESS 131
111100000   30   24   23   25   24   25   29   15  6.095696 0.636513 SUCCESS 132
111100010   20   25   12   25   21   23   35   37 19.424659 0.012746 SUCCESS 133
111100100   22   36   24   17   24   39   34   20 22.036832 0.004848 FAILURE 134
111100110   29   23   34   20   25   25   20   28  7.105215 0.525325 SUCCESS 135
111101000   24   28   25   21   18   16   24   26  5.899088 0.658535 SUCCESS 136
111101010   25   23   35   23   32   21   28   24  8.436457 0.392037 SUCCESS 137
111101100   24   24   26   29   22   25   26   23  1.469781 0.993198 SUCCESS 138
111101110   19   20   19   25   35   23   18   19 11.118137 0.195095 SUCCESS 139
111110000   29   16   23   25   19   20   27   21  6.813944 0.556833 SUCCESS 140
111110010   21   24   25   16   19   34   26   22  8.992520 0.342927 SUCCESS 141
111110100   31   28   19   23   13   21   22   22 10.194675 0.251627 SUCCESS 142
111110110   28   23   23   31   17   23   29   30  7.189949 0.516284 SUCCESS 143
111111000   29   19   16   26   24   18   21   25  7.474600 0.486396 SUCCESS 144
111111010   22   26   24   26   10   20   22   24 10.321113 0.243207 SUCCESS 145
111111100   35   18   20   21   29   32   31   29 13.893818 0.084575 SUCCESS 146
111111110   24   17   16   24   30   31   36   23 14.281738 0.074711 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   20   30   27   28   23   26   20   23  4.079306 0.849898 SUCCESS   0
000000011   20   28   28   25   30   37   26   24 10.106632 0.257621 SUCCESS   1
000000101   17   26   25   20   18   16   27   25  8.287511 0.405901 SUCCESS   2
000000111   23   25   31   19   35   36   27   23 14.012975 0.081428 SUCCESS   3
000001001   16   32   32   23   29   23   27   28  9.783586 0.280545 SUCCESS   4
000001011   26   30   15   24   20   22   22   23  6.576955 0.582885 SUCCESS   5
000001101   21   23   28   25   25   25   21   26  1.765686 0.987372 SUCCESS   6
000001111   22   23   22   30   31   28   22   27  4.826019 0.775999 SUCCESS   7
000010001   23   15   15   25   27   26   23   31  9.907376 0.271587 SUCCESS   8
000010011   16   23   30   23   25   18   27   29  7.417008 0.492380 SUCCESS   9
000010101   26   24   32   26   18   21   25   24  4.918034 0.766300 SUCCESS  10
000010111   28   32   19   24   24   24   19   23  5.570084 0.695263 SUCCESS  11
000011001   30   26   21   36   17   24   21   20 11.264434 0.187161 SUCCESS  12
000011011   24   19   27   21   15   26   30   33 10.332367 0.242469 SUCCESS  13
000011101   32   22   28   24   42   22   24   24 16.631105 0.034188 SUCCESS  14
000011111   26   30   24   30   29   28   22   25  4.479803 0.811450 SUCCESS  15
000100011   24   11   20   22   26   27   21   27  9.847136 0.275919 SUCCESS  16
000100101   22   26   30   30   18   15   30   30 11.146602 0.193530 SUCCESS  17
000100111   30   19   21   27   26   21   24   27  4.231561 0.835650 SUCCESS  18
000101001   20   22   21   27   28   21   14   25  7.474600 0.486396 SUCCESS  19
000101011   26   25   20   24   28   26   24   24  1.622037 0.990491 SUCCESS  20
000101101   30   25   16   20   24   20   31   26  7.934014 0.439942 SUCCESS  21
000101111   32   31   22   22   21   25   19   26  6.629914 0.577036 SUCCESS  22
000110011   32   21   20   32   20   21   22   24  7.764547 0.456801 SUCCESS  23
000110101   20   28   32   19   25   27   16   24  8.349075 0.400135 SUCCESS  24
000110111   26   23   32   20   19   32   23   25  7.240259 0.510946 SUCCESS  25
000111001   26   23   25   24   18   25   26   18  3.806570 0.874140 SUCCESS  26
000111011   30   26   27   31   27   13   25   21  9.866995 0.274486 SUCCESS  27
000111101   26   21   20   22   26   20   31   19  5.670705 0.684063 SUCCESS  28
000111111   24   22   19   29   23   29   18   26  5.205333 0.735421 SUCCESS  29
001000011   20   26   25   30   21   15   23   18  8.321934 0.402671 SUCCESS  30
001000101   27   28   19   31   37   22   26   28 11.547100 0.172584 SUCCESS  31
001000111   27   15   25   24   25   18   23   16  8.872039 0.353205 SUCCESS  32
001001011   29   23   33   31   14   25   27   24 10.850697 0.210303 SUCCESS  33
001001101   21   27   30   22   19   26   29   24  4.596312 0.799722 SUCCESS  34
001001111   25   25   20   25   27   20   28   30  3.850923 0.870317 SUCCESS  35
001010011   20   20   24   27   31   19   22   27  5.544267 0.698131 SUCCESS  36
001010101   25   22   27   26   15   26   31   35 11.113503 0.195351 SUCCESS  37
001010111   23   28   28   24   24   22   19   18  4.408310 0.818535 SUCCESS  38
001011011   28   30   26   24   23   24   27   20  3.190267 0.921856 SUCCESS  39
001011101   27   24   23   24   23   21   19   25  2.205241 0.974064 SUCCESS  40
001011111   28   24   28   33   28   25   19   25  6.055315 0.641036 SUCCESS  41
